univ,prog_sat,dep,pos_affect
Guelph,4.2,2.8,5.8
Waterloo,3.4,2.0,2.6
Guelph,4.4,3.4,5.6
Guelph,5.6,3.6,6.0
Guelph,3.6,3.2,5.4
Guelph,4.6,3.2,4.8
Guelph,6.0,4.0,7.0
Waterloo,3.0,3.8,5.0
Waterloo,4.0,2.6,6.0
Guelph,3.4,3.8,5.0
Guelph,6.0,2.4,5.6
Guelph,5.2,2.8,6.0
Guelph,4.8,3.2,6.6
Guelph,3.5,3.0,4.4
Guelph,4.4,2.8,6.2
Guelph,3.6,4.0,7.0
Guelph,3.5,3.0,6.0
Guelph,5.0,4.0,5.6
Waterloo,4.2,3.0,5.0
Guelph,4.4,3.6,4.8
Guelph,3.4,3.0,4.0
Waterloo,3.6,3.2,4.0
Guelph,5.4,3.4,5.0
Guelph,5.8,3.8,7.0
Guelph,4.2,3.4,5.2
Waterloo,3.4,3.4,2.6
Guelph,5.4,4.0,6.8
Waterloo,3.6,3.6,5.2
Guelph,4.4,3.6,5.4
Guelph,3.4,3.4,2.2
Guelph,5.4,2.8,5.8
Waterloo,2.2,3.8,3.8
Waterloo,1.4,2.4,3.0
Waterloo,4.4,3.6,4.6
Guelph,3.4,3.4,4.8
Guelph,5.4,3.2,5.4
Guelph,3.6,3.6,5.0
Guelph,3.0,2.8,4.2
Guelph,3.6,3.6,4.4
Waterloo,1.4,3.4,6.4
Guelph,4.0,2.6,6.0
Guelph,3.6,3.2,5.4
Guelph,4.5,4.0,5.2
Guelph,5.6,4.0,5.2
Waterloo,5.0,3.6,5.0
Guelph,5.6,3.8,7.0
Guelph,3.4,3.4,5.8
Guelph,4.2,2.8,4.4
Guelph,3.8,3.0,3.0
Guelph,4.4,3.6,4.4
Waterloo,3.8,3.6,5.0
Guelph,2.8,2.4,3.8
Guelph,3.8,2.8,4.2
Waterloo,2.5,2.75,3.4
Guelph,3.2,2.6,6.0
Guelph,5.2,3.6,6.2
Guelph,1.75,2.8,3.8
Guelph,2.0,4.0,5.0
Waterloo,1.8,3.4,4.2
Guelph,5.4,2.8,7.0
Guelph,3.2,3.6,5.2
Guelph,5.2,3.4,4.0
Guelph,4.0,3.6,5.0
Waterloo,4.6,2.8,5.2
Waterloo,3.0,3.25,4.2
Guelph,3.8,3.0,5.4
